iso_code,location,date,new_cases,new_deaths,new_cases_per_million,new_deaths_per_million,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,population,gdp_per_capita,human_development_index
AUT,Austria,2020-03-12,56.0,1.0,6.218,0.111,302.0,1.0,33.532,0.111,9006400.0,45436.685999999994,0.922
AUT,Austria,2020-03-13,202.0,0.0,22.428,0.0,504.0,1.0,55.96,0.111,9006400.0,45436.685999999994,0.922
AUT,Austria,2020-03-14,151.0,0.0,16.766,0.0,655.0,1.0,72.726,0.111,9006400.0,45436.685999999994,0.922
AUT,Austria,2020-03-15,205.0,0.0,22.761999999999997,0.0,860.0,1.0,95.488,0.111,9006400.0,45436.685999999994,0.922
AUT,Austria,2020-03-16,158.0,2.0,17.543,0.222,1018.0,3.0,113.031,0.33299999999999996,9006400.0,45436.685999999994,0.922
AUT,Austria,2020-03-17,314.0,0.0,34.864000000000004,0.0,1332.0,3.0,147.895,0.33299999999999996,9006400.0,45436.685999999994,0.922
AUT,Austria,2020-03-18,314.0,1.0,34.864000000000004,0.111,1646.0,4.0,182.75900000000001,0.444,9006400.0,45436.685999999994,0.922
AUT,Austria,2020-03-19,367.0,2.0,40.749,0.222,2013.0,6.0,223.50799999999998,0.6659999999999999,9006400.0,45436.685999999994,0.922
AUT,Austria,2020-03-20,375.0,0.0,41.637,0.0,2388.0,6.0,265.145,0.6659999999999999,9006400.0,45436.685999999994,0.922
AUT,Austria,2020-03-21,426.0,2.0,47.3,0.222,2814.0,8.0,312.444,0.888,9006400.0,45436.685999999994,0.922
AUT,Austria,2020-03-22,768.0,8.0,85.273,0.888,3582.0,16.0,397.717,1.777,9006400.0,45436.685999999994,0.922
AUT,Austria,2020-03-23,892.0,5.0,99.041,0.555,4474.0,21.0,496.75800000000004,2.332,9006400.0,45436.685999999994,0.922
AUT,Austria,2020-03-24,809.0,7.0,89.825,0.777,5283.0,28.0,586.5830000000001,3.109,9006400.0,45436.685999999994,0.922
AUT,Austria,2020-03-25,305.0,2.0,33.865,0.222,5588.0,30.0,620.448,3.3310000000000004,9006400.0,45436.685999999994,0.922
AUT,Austria,2020-03-26,1321.0,19.0,146.673,2.11,6909.0,49.0,767.1210000000001,5.441,9006400.0,45436.685999999994,0.922
AUT,Austria,2020-03-27,748.0,9.0,83.052,0.9990000000000001,7657.0,58.0,850.173,6.44,9006400.0,45436.685999999994,0.922
AUT,Austria,2020-03-28,614.0,10.0,68.17399999999999,1.11,8271.0,68.0,918.347,7.55,9006400.0,45436.685999999994,0.922
AUT,Austria,2020-03-29,517.0,18.0,57.403999999999996,1.999,8788.0,86.0,975.7510000000001,9.549,9006400.0,45436.685999999994,0.922
AUT,Austria,2020-03-30,830.0,22.0,92.15700000000001,2.443,9618.0,108.0,1067.907,11.991,9006400.0,45436.685999999994,0.922
AUT,Austria,2020-03-31,562.0,20.0,62.4,2.221,10180.0,128.0,1130.307,14.212,9006400.0,45436.685999999994,0.922
AUT,Austria,2020-04-01,531.0,18.0,58.958,1.999,10711.0,146.0,1189.265,16.211,9006400.0,45436.685999999994,0.922
AUT,Austria,2020-04-02,418.0,12.0,46.411,1.3319999999999999,11129.0,158.0,1235.677,17.543,9006400.0,45436.685999999994,0.922
AUT,Austria,2020-04-03,395.0,10.0,43.858000000000004,1.11,11524.0,168.0,1279.535,18.653,9006400.0,45436.685999999994,0.922
AUT,Austria,2020-04-04,257.0,18.0,28.535,1.999,11781.0,186.0,1308.07,20.651999999999997,9006400.0,45436.685999999994,0.922
AUT,Austria,2020-04-05,270.0,18.0,29.979,1.999,12051.0,204.0,1338.0479999999998,22.651,9006400.0,45436.685999999994,0.922
AUT,Austria,2020-04-06,246.0,16.0,27.314,1.777,12297.0,220.0,1365.362,24.427,9006400.0,45436.685999999994,0.922
AUT,Austria,2020-04-07,342.0,23.0,37.973,2.5540000000000003,12639.0,243.0,1403.335,26.980999999999998,9006400.0,45436.685999999994,0.922
AUT,Austria,2020-04-08,303.0,30.0,33.643,3.3310000000000004,12942.0,273.0,1436.9779999999998,30.311999999999998,9006400.0,45436.685999999994,0.922
AUT,Austria,2020-04-09,302.0,22.0,33.532,2.443,13244.0,295.0,1470.51,32.754,9006400.0,45436.685999999994,0.922
AUT,Austria,2020-04-10,311.0,24.0,34.531,2.665,13555.0,319.0,1505.0410000000002,35.419000000000004,9006400.0,45436.685999999994,0.922
AUT,Austria,2020-04-11,251.0,18.0,27.869,1.999,13806.0,337.0,1532.91,37.418,9006400.0,45436.685999999994,0.922
AUT,Austria,2020-04-12,139.0,13.0,15.433,1.443,13945.0,350.0,1548.3429999999998,38.861,9006400.0,45436.685999999994,0.922
AUT,Austria,2020-04-13,96.0,18.0,10.659,1.999,14041.0,368.0,1559.0020000000002,40.86,9006400.0,45436.685999999994,0.922
AUT,Austria,2020-04-14,185.0,16.0,20.541,1.777,14226.0,384.0,1579.543,42.636,9006400.0,45436.685999999994,0.922
AUT,Austria,2020-04-15,110.0,9.0,12.214,0.9990000000000001,14336.0,393.0,1591.757,43.636,9006400.0,45436.685999999994,0.922
AUT,Austria,2020-04-16,140.0,17.0,15.545,1.8880000000000001,14476.0,410.0,1607.3010000000002,45.523,9006400.0,45436.685999999994,0.922
AUT,Austria,2020-04-17,119.0,21.0,13.213,2.332,14595.0,431.0,1620.514,47.855,9006400.0,45436.685999999994,0.922
AUT,Austria,2020-04-18,76.0,12.0,8.437999999999999,1.3319999999999999,14671.0,443.0,1628.953,49.187,9006400.0,45436.685999999994,0.922
AUT,Austria,2020-04-19,78.0,9.0,8.661,0.9990000000000001,14749.0,452.0,1637.6129999999998,50.187,9006400.0,45436.685999999994,0.922
AUT,Austria,2020-04-20,46.0,18.0,5.107,1.999,14795.0,470.0,1642.721,52.185,9006400.0,45436.685999999994,0.922
AUT,Austria,2020-04-21,78.0,21.0,8.661,2.332,14873.0,491.0,1651.381,54.516999999999996,9006400.0,45436.685999999994,0.922
AUT,Austria,2020-04-22,52.0,19.0,5.774,2.11,14925.0,510.0,1657.155,56.626000000000005,9006400.0,45436.685999999994,0.922
AUT,Austria,2020-04-23,77.0,12.0,8.549,1.3319999999999999,15002.0,522.0,1665.704,57.958999999999996,9006400.0,45436.685999999994,0.922
AUT,Austria,2020-04-24,69.0,8.0,7.6610000000000005,0.888,15071.0,530.0,1673.366,58.847,9006400.0,45436.685999999994,0.922
AUT,Austria,2020-04-25,77.0,6.0,8.549,0.6659999999999999,15148.0,536.0,1681.915,59.513000000000005,9006400.0,45436.685999999994,0.922
AUT,Austria,2020-04-26,77.0,6.0,8.549,0.6659999999999999,15225.0,542.0,1690.465,60.178999999999995,9006400.0,45436.685999999994,0.922
AUT,Austria,2020-04-27,49.0,7.0,5.441,0.777,15274.0,549.0,1695.905,60.957,9006400.0,45436.685999999994,0.922
AUT,Austria,2020-04-28,83.0,20.0,9.216000000000001,2.221,15357.0,569.0,1705.121,63.177,9006400.0,45436.685999999994,0.922
AUT,Austria,2020-04-29,45.0,11.0,4.996,1.2209999999999999,15402.0,580.0,1710.1170000000002,64.399,9006400.0,45436.685999999994,0.922
AUT,Austria,2020-04-30,50.0,4.0,5.5520000000000005,0.444,15452.0,584.0,1715.6689999999999,64.843,9006400.0,45436.685999999994,0.922
AUT,Austria,2020-05-01,79.0,5.0,8.772,0.555,15531.0,589.0,1724.44,65.398,9006400.0,45436.685999999994,0.922
AUT,Austria,2020-05-02,27.0,7.0,2.998,0.777,15558.0,596.0,1727.4379999999999,66.175,9006400.0,45436.685999999994,0.922
AUT,Austria,2020-05-03,39.0,2.0,4.33,0.222,15597.0,598.0,1731.769,66.39699999999999,9006400.0,45436.685999999994,0.922
