iso_code,location,date,total_vaccinations,new_vaccinations,people_vaccinated_per_hundred,population,gdp_per_capita,human_development_index
AUT,Austria,2020-12-27,720.0,,0.01,9006400.0,45436.685999999994,0.922
AUT,Austria,2020-12-28,2013.0,1293.0,0.02,9006400.0,45436.685999999994,0.922
AUT,Austria,2020-12-29,3627.0,1614.0,0.04,9006400.0,45436.685999999994,0.922
AUT,Austria,2020-12-30,4973.0,1346.0,0.06,9006400.0,45436.685999999994,0.922
AUT,Austria,2020-12-31,4981.0,8.0,0.06,9006400.0,45436.685999999994,0.922
AUT,Austria,2021-01-01,4983.0,2.0,0.06,9006400.0,45436.685999999994,0.922
AUT,Austria,2021-01-02,4989.0,6.0,0.06,9006400.0,45436.685999999994,0.922
AUT,Austria,2021-01-03,4990.0,1.0,0.06,9006400.0,45436.685999999994,0.922
AUT,Austria,2021-01-04,5104.0,114.0,0.06,9006400.0,45436.685999999994,0.922
AUT,Austria,2021-01-05,6866.0,1762.0,0.08,9006400.0,45436.685999999994,0.922
AUT,Austria,2021-01-06,7698.0,832.0,0.09,9006400.0,45436.685999999994,0.922
AUT,Austria,2021-01-07,10852.0,3154.0,0.12,9006400.0,45436.685999999994,0.922
AUT,Austria,2021-01-08,23752.0,12900.0,0.26,9006400.0,45436.685999999994,0.922
AUT,Austria,2021-01-09,28124.0,4372.0,0.31,9006400.0,45436.685999999994,0.922
AUT,Austria,2021-01-10,30314.0,2190.0,0.34,9006400.0,45436.685999999994,0.922
AUT,Austria,2021-01-11,35880.0,5566.0,0.4,9006400.0,45436.685999999994,0.922
AUT,Austria,2021-01-12,50178.0,14298.0,0.56,9006400.0,45436.685999999994,0.922
AUT,Austria,2021-01-13,65187.0,15009.0,0.72,9006400.0,45436.685999999994,0.922
AUT,Austria,2021-01-14,81540.0,16353.0,0.91,9006400.0,45436.685999999994,0.922
AUT,Austria,2021-01-15,99268.0,17728.0,1.1,9006400.0,45436.685999999994,0.922
AUT,Austria,2021-01-16,105978.0,6710.0,1.18,9006400.0,45436.685999999994,0.922
AUT,Austria,2021-01-17,111610.0,5632.0,1.24,9006400.0,45436.685999999994,0.922
AUT,Austria,2021-01-18,122833.0,11223.0,1.35,9006400.0,45436.685999999994,0.922
AUT,Austria,2021-01-19,148353.0,25520.0,1.62,9006400.0,45436.685999999994,0.922
AUT,Austria,2021-01-20,171646.0,23293.0,1.86,9006400.0,45436.685999999994,0.922
AUT,Austria,2021-01-21,191169.0,19523.0,2.08,9006400.0,45436.685999999994,0.922
AUT,Austria,2021-01-22,202757.0,11588.0,2.2,9006400.0,45436.685999999994,0.922
AUT,Austria,2021-01-23,205851.0,3094.0,2.23,9006400.0,45436.685999999994,0.922
AUT,Austria,2021-01-24,207079.0,1228.0,2.25,9006400.0,45436.685999999994,0.922
AUT,Austria,2021-01-25,208565.0,1486.0,2.26,9006400.0,45436.685999999994,0.922
AUT,Austria,2021-01-26,216977.0,8412.0,2.35,9006400.0,45436.685999999994,0.922
AUT,Austria,2021-01-27,224902.0,7925.0,2.43,9006400.0,45436.685999999994,0.922
AUT,Austria,2021-01-28,234669.0,9767.0,2.51,9006400.0,45436.685999999994,0.922
AUT,Austria,2021-01-29,249531.0,14862.0,2.57,9006400.0,45436.685999999994,0.922
AUT,Austria,2021-01-30,253167.0,3636.0,2.58,9006400.0,45436.685999999994,0.922
AUT,Austria,2021-01-31,254515.0,1348.0,2.58,9006400.0,45436.685999999994,0.922
AUT,Austria,2021-02-01,259060.0,4545.0,2.6,9006400.0,45436.685999999994,0.922
AUT,Austria,2021-02-02,275932.0,16872.0,2.64,9006400.0,45436.685999999994,0.922
AUT,Austria,2021-02-03,293468.0,17536.0,2.67,9006400.0,45436.685999999994,0.922
AUT,Austria,2021-02-04,313332.0,19864.0,2.7,9006400.0,45436.685999999994,0.922
AUT,Austria,2021-02-05,333925.0,20593.0,2.75,9006400.0,45436.685999999994,0.922
AUT,Austria,2021-02-06,342792.0,8867.0,2.78,9006400.0,45436.685999999994,0.922
AUT,Austria,2021-02-07,347720.0,4928.0,2.79,9006400.0,45436.685999999994,0.922
AUT,Austria,2021-02-08,357199.0,9479.0,2.81,9006400.0,45436.685999999994,0.922
AUT,Austria,2021-02-09,376085.0,18886.0,2.84,9006400.0,45436.685999999994,0.922
AUT,Austria,2021-02-10,397478.0,21393.0,2.88,9006400.0,45436.685999999994,0.922
AUT,Austria,2021-02-11,421433.0,23955.0,2.93,9006400.0,45436.685999999994,0.922
AUT,Austria,2021-02-12,447693.0,26260.0,3.03,9006400.0,45436.685999999994,0.922
AUT,Austria,2021-02-13,457953.0,10260.0,3.08,9006400.0,45436.685999999994,0.922
AUT,Austria,2021-02-14,459950.0,1997.0,3.09,9006400.0,45436.685999999994,0.922
AUT,Austria,2021-02-15,466994.0,7044.0,3.13,9006400.0,45436.685999999994,0.922
AUT,Austria,2021-02-16,481318.0,14324.0,3.21,9006400.0,45436.685999999994,0.922
AUT,Austria,2021-02-17,500428.0,19110.0,3.31,9006400.0,45436.685999999994,0.922
AUT,Austria,2021-02-18,519824.0,19396.0,3.44,9006400.0,45436.685999999994,0.922
AUT,Austria,2021-02-19,540942.0,21118.0,3.58,9006400.0,45436.685999999994,0.922
AUT,Austria,2021-02-20,553842.0,12900.0,3.71,9006400.0,45436.685999999994,0.922
AUT,Austria,2021-02-21,559755.0,5913.0,3.77,9006400.0,45436.685999999994,0.922
AUT,Austria,2021-02-22,566590.0,6835.0,3.82,9006400.0,45436.685999999994,0.922
AUT,Austria,2021-02-23,581053.0,14463.0,3.94,9006400.0,45436.685999999994,0.922
AUT,Austria,2021-02-24,600506.0,19453.0,4.12,9006400.0,45436.685999999994,0.922
AUT,Austria,2021-02-25,620089.0,19583.0,4.29,9006400.0,45436.685999999994,0.922
AUT,Austria,2021-02-26,648184.0,28095.0,4.55,9006400.0,45436.685999999994,0.922
AUT,Austria,2021-02-27,672630.0,24446.0,4.8,9006400.0,45436.685999999994,0.922
AUT,Austria,2021-02-28,682752.0,10122.0,4.91,9006400.0,45436.685999999994,0.922
AUT,Austria,2021-03-01,691193.0,8441.0,5.0,9006400.0,45436.685999999994,0.922
AUT,Austria,2021-03-02,715936.0,24743.0,5.25,9006400.0,45436.685999999994,0.922
AUT,Austria,2021-03-03,743049.0,27113.0,5.52,9006400.0,45436.685999999994,0.922
AUT,Austria,2021-03-04,769403.0,26354.0,5.78,9006400.0,45436.685999999994,0.922
AUT,Austria,2021-03-05,804735.0,35332.0,6.14,9006400.0,45436.685999999994,0.922
AUT,Austria,2021-03-06,832130.0,27395.0,6.42,9006400.0,45436.685999999994,0.922
AUT,Austria,2021-03-07,843915.0,11785.0,6.55,9006400.0,45436.685999999994,0.922
AUT,Austria,2021-03-08,855241.0,11326.0,6.66,9006400.0,45436.685999999994,0.922
AUT,Austria,2021-03-09,882960.0,27719.0,6.93,9006400.0,45436.685999999994,0.922
AUT,Austria,2021-03-10,911257.0,28297.0,7.19,9006400.0,45436.685999999994,0.922
AUT,Austria,2021-03-11,955162.0,43905.0,7.62,9006400.0,45436.685999999994,0.922
AUT,Austria,2021-03-12,1011827.0,56665.0,8.19,9006400.0,45436.685999999994,0.922
AUT,Austria,2021-03-13,1062491.0,50664.0,8.69,9006400.0,45436.685999999994,0.922
AUT,Austria,2021-03-14,1091791.0,29300.0,8.97,9006400.0,45436.685999999994,0.922
AUT,Austria,2021-03-15,1112188.0,20397.0,9.17,9006400.0,45436.685999999994,0.922
AUT,Austria,2021-03-16,1139820.0,27632.0,9.41,9006400.0,45436.685999999994,0.922
AUT,Austria,2021-03-17,1172601.0,32781.0,9.69,9006400.0,45436.685999999994,0.922
AUT,Austria,2021-03-18,1206517.0,33916.0,9.98,9006400.0,45436.685999999994,0.922
AUT,Austria,2021-03-19,1257903.0,51386.0,10.46,9006400.0,45436.685999999994,0.922
AUT,Austria,2021-03-20,1303803.0,45900.0,10.86,9006400.0,45436.685999999994,0.922
AUT,Austria,2021-03-21,1318934.0,15131.0,10.99,9006400.0,45436.685999999994,0.922
AUT,Austria,2021-03-22,1334273.0,15339.0,11.14,9006400.0,45436.685999999994,0.922
AUT,Austria,2021-03-23,1367713.0,33440.0,11.34,9006400.0,45436.685999999994,0.922
AUT,Austria,2021-03-24,1404886.0,37173.0,11.56,9006400.0,45436.685999999994,0.922
AUT,Austria,2021-03-25,1448443.0,43557.0,11.88,9006400.0,45436.685999999994,0.922
AUT,Austria,2021-03-26,1496387.0,47944.0,12.21,9006400.0,45436.685999999994,0.922
AUT,Austria,2021-03-27,1535747.0,39360.0,12.49,9006400.0,45436.685999999994,0.922
AUT,Austria,2021-03-28,1549810.0,14063.0,12.6,9006400.0,45436.685999999994,0.922
AUT,Austria,2021-03-29,1574321.0,24511.0,12.82,9006400.0,45436.685999999994,0.922
AUT,Austria,2021-03-30,1611455.0,37134.0,13.11,9006400.0,45436.685999999994,0.922
BLR,Belarus,2020-12-28,0.0,,0.0,9449321.0,17167.967,0.823
BLR,Belarus,2021-02-18,20944.0,,0.22,9449321.0,17167.967,0.823
BLR,Belarus,2021-03-12,30000.0,,0.21,9449321.0,17167.967,0.823
BLR,Belarus,2021-03-26,66618.0,,0.43,9449321.0,17167.967,0.823
BEL,Belgium,2020-12-28,298.0,,0.0,11589616.0,42658.575999999994,0.9309999999999999
BEL,Belgium,2020-12-29,299.0,1.0,0.0,11589616.0,42658.575999999994,0.9309999999999999
BEL,Belgium,2020-12-30,777.0,478.0,0.01,11589616.0,42658.575999999994,0.9309999999999999
BEL,Belgium,2020-12-31,786.0,9.0,0.01,11589616.0,42658.575999999994,0.9309999999999999
BEL,Belgium,2021-01-01,794.0,8.0,0.01,11589616.0,42658.575999999994,0.9309999999999999
BEL,Belgium,2021-01-04,797.0,,0.01,11589616.0,42658.575999999994,0.9309999999999999
BEL,Belgium,2021-01-05,2444.0,1647.0,0.02,11589616.0,42658.575999999994,0.9309999999999999
BEL,Belgium,2021-01-06,6321.0,3877.0,0.05,11589616.0,42658.575999999994,0.9309999999999999
BEL,Belgium,2021-01-07,14502.0,8181.0,0.13,11589616.0,42658.575999999994,0.9309999999999999
BEL,Belgium,2021-01-08,23732.0,9230.0,0.2,11589616.0,42658.575999999994,0.9309999999999999
BEL,Belgium,2021-01-09,26937.0,3205.0,0.23,11589616.0,42658.575999999994,0.9309999999999999
BEL,Belgium,2021-01-10,27336.0,399.0,0.24,11589616.0,42658.575999999994,0.9309999999999999
BEL,Belgium,2021-01-11,32915.0,5579.0,0.28,11589616.0,42658.575999999994,0.9309999999999999
BEL,Belgium,2021-01-12,48530.0,15615.0,0.42,11589616.0,42658.575999999994,0.9309999999999999
BEL,Belgium,2021-01-13,69859.0,21329.0,0.6,11589616.0,42658.575999999994,0.9309999999999999
BEL,Belgium,2021-01-14,93010.0,23151.0,0.8,11589616.0,42658.575999999994,0.9309999999999999
BEL,Belgium,2021-01-15,116280.0,23270.0,1.0,11589616.0,42658.575999999994,0.9309999999999999
BEL,Belgium,2021-01-16,121437.0,5157.0,1.05,11589616.0,42658.575999999994,0.9309999999999999
BEL,Belgium,2021-01-17,124735.0,3298.0,1.08,11589616.0,42658.575999999994,0.9309999999999999
BEL,Belgium,2021-01-18,135732.0,10997.0,1.17,11589616.0,42658.575999999994,0.9309999999999999
BEL,Belgium,2021-01-19,154958.0,19226.0,1.33,11589616.0,42658.575999999994,0.9309999999999999
BEL,Belgium,2021-01-20,176122.0,21164.0,1.51,11589616.0,42658.575999999994,0.9309999999999999
BEL,Belgium,2021-01-21,206180.0,30058.0,1.77,11589616.0,42658.575999999994,0.9309999999999999
BEL,Belgium,2021-01-22,235584.0,29404.0,2.03,11589616.0,42658.575999999994,0.9309999999999999
BEL,Belgium,2021-01-23,243831.0,8247.0,2.1,11589616.0,42658.575999999994,0.9309999999999999
BEL,Belgium,2021-01-24,245707.0,1876.0,2.11,11589616.0,42658.575999999994,0.9309999999999999
BEL,Belgium,2021-01-25,256973.0,11266.0,2.21,11589616.0,42658.575999999994,0.9309999999999999
BEL,Belgium,2021-01-26,269573.0,12600.0,2.31,11589616.0,42658.575999999994,0.9309999999999999
BEL,Belgium,2021-01-27,286021.0,16448.0,2.42,11589616.0,42658.575999999994,0.9309999999999999
BEL,Belgium,2021-01-28,308971.0,22950.0,2.55,11589616.0,42658.575999999994,0.9309999999999999
BEL,Belgium,2021-01-29,329881.0,20910.0,2.66,11589616.0,42658.575999999994,0.9309999999999999
BEL,Belgium,2021-01-30,334344.0,4463.0,2.67,11589616.0,42658.575999999994,0.9309999999999999
BEL,Belgium,2021-01-31,335246.0,902.0,2.67,11589616.0,42658.575999999994,0.9309999999999999
BEL,Belgium,2021-02-01,342918.0,7672.0,2.71,11589616.0,42658.575999999994,0.9309999999999999
BEL,Belgium,2021-02-02,366724.0,23806.0,2.8,11589616.0,42658.575999999994,0.9309999999999999
BEL,Belgium,2021-02-03,397138.0,30414.0,2.88,11589616.0,42658.575999999994,0.9309999999999999
BEL,Belgium,2021-02-04,430784.0,33646.0,2.97,11589616.0,42658.575999999994,0.9309999999999999
BEL,Belgium,2021-02-05,461225.0,30441.0,3.04,11589616.0,42658.575999999994,0.9309999999999999
BEL,Belgium,2021-02-06,467680.0,6455.0,3.05,11589616.0,42658.575999999994,0.9309999999999999
BEL,Belgium,2021-02-07,471047.0,3367.0,3.05,11589616.0,42658.575999999994,0.9309999999999999
BEL,Belgium,2021-02-08,481115.0,10068.0,3.07,11589616.0,42658.575999999994,0.9309999999999999
BEL,Belgium,2021-02-09,508499.0,27384.0,3.14,11589616.0,42658.575999999994,0.9309999999999999
BEL,Belgium,2021-02-10,533727.0,25228.0,3.2,11589616.0,42658.575999999994,0.9309999999999999
BEL,Belgium,2021-02-11,569743.0,36016.0,3.27,11589616.0,42658.575999999994,0.9309999999999999
BEL,Belgium,2021-02-12,603815.0,34072.0,3.32,11589616.0,42658.575999999994,0.9309999999999999
BEL,Belgium,2021-02-13,612392.0,8577.0,3.33,11589616.0,42658.575999999994,0.9309999999999999
BEL,Belgium,2021-02-14,614309.0,1917.0,3.33,11589616.0,42658.575999999994,0.9309999999999999
BEL,Belgium,2021-02-15,627915.0,13606.0,3.35,11589616.0,42658.575999999994,0.9309999999999999
BEL,Belgium,2021-02-16,642328.0,14413.0,3.38,11589616.0,42658.575999999994,0.9309999999999999
BEL,Belgium,2021-02-17,661950.0,19622.0,3.44,11589616.0,42658.575999999994,0.9309999999999999
BEL,Belgium,2021-02-18,689343.0,27393.0,3.54,11589616.0,42658.575999999994,0.9309999999999999
BEL,Belgium,2021-02-19,719817.0,30474.0,3.69,11589616.0,42658.575999999994,0.9309999999999999
BEL,Belgium,2021-02-20,725616.0,5799.0,3.73,11589616.0,42658.575999999994,0.9309999999999999
BEL,Belgium,2021-02-21,727763.0,2147.0,3.74,11589616.0,42658.575999999994,0.9309999999999999
BEL,Belgium,2021-02-22,740269.0,12506.0,3.83,11589616.0,42658.575999999994,0.9309999999999999
BEL,Belgium,2021-02-23,760048.0,19779.0,3.93,11589616.0,42658.575999999994,0.9309999999999999
BEL,Belgium,2021-02-24,782777.0,22729.0,4.06,11589616.0,42658.575999999994,0.9309999999999999
BEL,Belgium,2021-02-25,814143.0,31366.0,4.25,11589616.0,42658.575999999994,0.9309999999999999
BEL,Belgium,2021-02-26,845746.0,31603.0,4.47,11589616.0,42658.575999999994,0.9309999999999999
BEL,Belgium,2021-02-27,850169.0,4423.0,4.5,11589616.0,42658.575999999994,0.9309999999999999
BEL,Belgium,2021-02-28,850990.0,821.0,4.51,11589616.0,42658.575999999994,0.9309999999999999
BEL,Belgium,2021-03-01,864269.0,13279.0,4.6,11589616.0,42658.575999999994,0.9309999999999999
BEL,Belgium,2021-03-02,887562.0,23293.0,4.74,11589616.0,42658.575999999994,0.9309999999999999
BEL,Belgium,2021-03-03,916849.0,29287.0,4.94,11589616.0,42658.575999999994,0.9309999999999999
BEL,Belgium,2021-03-04,965426.0,48577.0,5.29,11589616.0,42658.575999999994,0.9309999999999999
BEL,Belgium,2021-03-05,1008286.0,42860.0,5.61,11589616.0,42658.575999999994,0.9309999999999999
BEL,Belgium,2021-03-06,1016666.0,8380.0,5.67,11589616.0,42658.575999999994,0.9309999999999999
